# tcp-scan-services -- TCP port number to service name map file for tcp-scan
#
# This file contains the TCP port number to service name mapping file that
# is used by tcp-scan to display TCP service names.
#
# The format of this file is the same as that used for the services file used
# by Unix, Linux and Windows, which is typically located in /etc/services or
# %WINDIR%\system32\drivers\etc\services.
#
ticf-2	493/tcp
pov-ray	494/tcp
intecourier	495/tcp
pim-rp-disc	496/tcp
dantz	497/tcp
siam	498/tcp
iso-ill	499/tcp
isakmp	500/tcp
stmf	501/tcp
asa-appl-proto	502/tcp
intrinsa	503/tcp
citadel	504/tcp
mailbox-lm	505/tcp
ohimsrv	506/tcp
crs	507/tcp
xvttp	508/tcp
snare	509/tcp
fcp	510/tcp
passgo	511/tcp
exec	512/tcp
login	513/tcp
shell	514/tcp
printer	515/tcp
videotex	516/tcp
talk	517/tcp
ntalk	518/tcp
utime	519/tcp
efs	520/tcp
ripng	521/tcp
ulp	522/tcp
ibm-db2	523/tcp
ncp	524/tcp
timed	525/tcp
tempo	526/tcp
stx	527/tcp
custix	528/tcp
irc-serv	529/tcp
courier	530/tcp
conference	531/tcp
netnews	532/tcp
netwall	533/tcp
mm-admin	534/tcp
iiop	535/tcp
opalis-rdv	536/tcp
nmsp	537/tcp
gdomap	538/tcp
apertus-ldp	539/tcp
uucp	540/tcp
uucp-rlogin	541/tcp
commerce	542/tcp
klogin	543/tcp
kshell	544/tcp
appleqtcsrvr	545/tcp
dhcpv6-client	546/tcp
dhcpv6-server	547/tcp
afpovertcp	548/tcp
idfp	549/tcp
new-rwho	550/tcp
cybercash	551/tcp
devshr-nts	552/tcp
pirp	553/tcp
rtsp	554/tcp
dsf	555/tcp
remotefs	556/tcp
openvms-sysipc	557/tcp
sdnskmp	558/tcp
teedtap	559/tcp
rmonitor	560/tcp
monitor	561/tcp
chshell	562/tcp
nntps	563/tcp
9pfs	564/tcp
whoami	565/tcp
streettalk	566/tcp
banyan-rpc	567/tcp
ms-shuttle	568/tcp
ms-rome	569/tcp
meter	570/tcp
meter	571/tcp
sonar	572/tcp
banyan-vip	573/tcp
ftp-agent	574/tcp
vemmi	575/tcp
ipcd	576/tcp
vnas	577/tcp
ipdd	578/tcp
decbsrv	579/tcp
sntp-heartbeat	580/tcp
bdp	581/tcp
scc-security	582/tcp
philips-vc	583/tcp
keyserver	584/tcp
imap4-ssl	585/tcp
password-chg	586/tcp
submission	587/tcp
cal	588/tcp
eyelink	589/tcp
tns-cml	590/tcp
http-alt	591/tcp
eudora-set	592/tcp
http-rpc-epmap	593/tcp
tpip	594/tcp
cab-protocol	595/tcp
smsd	596/tcp
ptcnameservice	597/tcp
sco-websrvrmg3	598/tcp
acp	599/tcp
ipcserver	600/tcp
syslog-conn	601/tcp
xmlrpc-beep	602/tcp
idxp	603/tcp
tunnel	604/tcp
soap-beep	605/tcp
urm	606/tcp
nqs	607/tcp
sift-uft	608/tcp
npmp-trap	609/tcp
npmp-local	610/tcp
npmp-gui	611/tcp
hmmp-ind	612/tcp
hmmp-op	613/tcp
sshell	614/tcp
sco-inetmgr	615/tcp
sco-sysmgr	616/tcp
sco-dtmgr	617/tcp
dei-icda	618/tcp
compaq-evm	619/tcp
sco-websrvrmgr	620/tcp
escp-ip	621/tcp
collaborator	622/tcp
asf-rmcp	623/tcp
cryptoadmin	624/tcp
dec_dlm	625/tcp
asia	626/tcp
passgo-tivoli	627/tcp
qmqp	628/tcp
3com-amp3	629/tcp
rda	630/tcp
ipp	631/tcp
bmpp	632/tcp
servstat	633/tcp
ginad	634/tcp
rlzdbase	635/tcp
ldaps	636/tcp
lanserver	637/tcp
mcns-sec	638/tcp
msdp	639/tcp
entrust-sps	640/tcp
repcmd	641/tcp
esro-emsdp	642/tcp
sanity	643/tcp
dwr	644/tcp
pssc	645/tcp
ldp	646/tcp
dhcp-failover	647/tcp
rrp	648/tcp
cadview-3d	649/tcp
obex	650/tcp
ieee-mms	651/tcp
hello-port	652/tcp
repscmd	653/tcp
aodv	654/tcp
tinc	655/tcp
spmp	656/tcp
rmc	657/tcp
tenfold	658/tcp
mac-srvr-admin	660/tcp
hap	661/tcp
pftp	662/tcp
purenoise	663/tcp
asf-secure-rmcp	664/tcp
sun-dr	665/tcp
mdqs	666/tcp
disclose	667/tcp
mecomm	668/tcp
meregister	669/tcp
vacdsm-sws	670/tcp
vacdsm-app	671/tcp
vpps-qua	672/tcp
cimplex	673/tcp
acap	674/tcp
dctp	675/tcp
vpps-via	676/tcp
vpp	677/tcp
ggf-ncp	678/tcp
mrm	679/tcp
entrust-aaas	680/tcp
entrust-aams	681/tcp
xfr	682/tcp
corba-iiop	683/tcp
corba-iiop-ssl	684/tcp
mdc-portmapper	685/tcp
hcp-wismar	686/tcp
asipregistry	687/tcp
realm-rusd	688/tcp
nmap	689/tcp
vatp	690/tcp
msexch-routing	691/tcp
hyperwave-isp	692/tcp
connendp	693/tcp
ha-cluster	694/tcp
ieee-mms-ssl	695/tcp
rushd	696/tcp
uuidgen	697/tcp
olsr	698/tcp
accessnetwork	699/tcp
epp	700/tcp
lmp	701/tcp
iris-beep	702/tcp
elcsd	704/tcp
agentx	705/tcp
silc	706/tcp
borland-dsj	707/tcp
entrust-kmsh	709/tcp
entrust-ash	710/tcp
cisco-tdp	711/tcp
tbrpf	712/tcp
omfs	723/tcp
netviewdm1	729/tcp
netviewdm2	730/tcp
netviewdm3	731/tcp
netcp	740/tcp
netgw	741/tcp
netrcs	742/tcp
flexlm	744/tcp
fujitsu-dev	747/tcp
ris-cm	748/tcp
kerberos-adm	749/tcp
rfile	750/tcp
pump	751/tcp
qrh	752/tcp
rrh	753/tcp
tell	754/tcp
nlogin	758/tcp
con	759/tcp
ns	760/tcp
rxe	761/tcp
quotad	762/tcp
cycleserv	763/tcp
omserv	764/tcp
