HTHStudios.com,SHA1(SALTSHA1(SALTSHA1(PLAIN))) / BCRYPT / JOOMLA / PHPBB3
AviatorCraft,SHA1(SALTPLAIN)
Starblast.fr,MD5
Cannabis.com,VBULLETIN
Cannabis.com Passwordhistory,VBULLETIN
forums.cdprojektred.com,VBULLETIN
DLH.net,MD5/SHA1
PlanetMinecraft.com,MD5
Zomato.com,OSCOMMERCE
id.zing.vn,MD5
TGBUS.com,VBULLETIN
Smogon,VBULLETIN/SHA256(SHA256(PLAIN)SALT)/BCRYPT
Dailymotion,BCRYPT
8Tracks.com,SHA1DASH
WeHeartIt.com,MD5
Edmodo.com,BCRYPTMD5
Atlasti.com,VBULLETIN
R2Games 2015,VBULLETIN
iMesh,VBULLETIN
Bitcointalk.org,SHA1/SHA256CRYPT
Xiaomi,VBULLETIN
GFAN.com,VBULLETIN
Have I been Pwned V2,SHA1
Youku Cropped,MD5
Youku,MD5
Shotbow.net,SHA256(SHA256(PLAIN)SALT)
Arma3-Life.com,IPB
PS3Hax.net,VBULLETIN
Faucethub.io,SHA512
Nihonomaru,VBULLETIN
Abandonia.com,VBULLETIN / MD5MD5SALT
DayZ.com,MYBB/IPB
Nulled.io,IPB
MPGH.net,VBULLETIN
Habbo,MD5(PLAINSALT)
17.media,MD5
LBSG.net,MD5
Forbes,WORDPRESS
Naughty America,MD5
Heroes of Newerth,VBULLETIN
Last.fm 2016,MD5
Dropbox,BCRYPT
Badoo,MD5
Acparadise.com,PHPBB3 / BCRYPT
MineField.fr,PHPBB3
Have I been Pwned V1,SHA1
PayAsUGym,MD5
Linkedin,SHA1
Amzreviewtrader.com,MYSQL5
Xsplit,SHA1
AmateurCommunity.com,MD5
Bter.com,MD5
Avitron.fr,MD5
Blacklotus.net,MD5
Bestbooter.com,SHA1
Crave,MD5
Ararchive.com,MD5
Md5this.com,MD5
Airproxboard.org.uk,MD5
AHA,SHA1
Midinx,MD5
Bullchaonline.com,MD5
Madword.co.uk,MD5
en.islcollective.com,MD5
SerraPreschools.com,MD5
MangaTraders.com,MD5
Graboid,MD5
Soulsplit,SHA1
xSuse,MD5
Job.sy,MD5
Gotden,MD5
Farscapeworld,MD5
MMMOOO,MD5
Passwords,MYSQL5
Games,SHA1
Pixelfederation.com,MD5
Vegastripping.com,MD5
Yahoo,SHA1
Ohmedia.my,SHA1
Punto.pe,SHA1
Zoosk.com,MD5
TomSawyer.com,MD5
Renault.com.ar,SHA1
MilitarySingles.com,MD5
Last.fm 2012,MD5
ImsResearch.com,MD5
Booz Allen Hamilton,SHA1
Blizzard.com.au,MD5
Ahashare.com,MD5
Op Northkorea,MD5
Battlefield,MD5
FFGBeach,MD5
Dhool,MD5
DamnSmallLinux,MD5
ABC,SHA1
Casio.com,MD5
Project Hellfire,MD5
Project Whitefox,MD5
eHarmony,MD5
Rootkit.com,MD5
Stratfor,MD5
Project Mayhem,MD5
