name,repository
guard-minitest,https://github.com/guard/guard-minitest
padrino-helpers,https://github.com/padrino/padrino-framework
grape,https://github.com/ruby-grape/grape
fog-aws,https://github.com/fog/fog-aws
react-source,https://github.com/facebook/react
sinatra-activerecord,https://github.com/janko-m/sinatra-activerecord
foundation-rails,https://github.com/zurb/foundation-rails
compass-rails,https://github.com/Compass/compass-rails
rspec-collection_matchers,https://github.com/rspec/rspec-collection_matchers
prawn,https://github.com/prawnpdf/prawn
ansi,https://github.com/rubyworks/ansi
chartkick,https://github.com/ankane/chartkick
msgpack,https://github.com/msgpack/msgpack-ruby
rufus-scheduler,https://github.com/jmettraux/rufus-scheduler
bson,https://github.com/mongodb/bson-ruby
bson_ext,https://github.com/mongodb/bson-ruby
pundit,https://github.com/elabs/pundit
therubyracer,https://github.com/cowboyd/therubyracer
mimemagic,https://github.com/minad/mimemagic
refinerycms-core,https://github.com/refinery/refinerycms
bcrypt-ruby,https://github.com/codahale/bcrypt-ruby
css_parser,https://github.com/premailer/css_parser
redis-objects,https://github.com/nateware/redis-objects
travis,https://github.com/travis-ci/travis.rb
formatador,https://github.com/geemus/formatador
letter_opener,https://github.com/ryanb/letter_opener
premailer,https://github.com/premailer/premailer
fastercsv,https://github.com/JEG2/faster_csv
cancan,https://github.com/ryanb/cancan
capistrano-bundler,https://github.com/capistrano/bundler
backports,https://github.com/marcandre/backports
shotgun,https://github.com/rtomayko/shotgun
countries,https://github.com/hexorx/countries
globalid,https://github.com/rails/globalid
public_suffix,https://github.com/weppos/publicsuffix-ruby
heroku,https://github.com/heroku/legacy-cli
cocoapods,https://github.com/CocoaPods/CocoaPods
authlogic,https://github.com/binarylogic/authlogic
test-kitchen,https://github.com/test-kitchen/test-kitchen
psych,https://github.com/ruby/psych
diffy,https://github.com/samg/diffy
hiera,https://github.com/puppetlabs/hiera
docker-api,https://github.com/swipely/docker-api
fpm,https://github.com/jordansissel/fpm
pry-rails,https://github.com/rweng/pry-rails
faye-websocket,https://github.com/faye/faye-websocket-ruby
hipchat,https://github.com/hipchat/hipchat-rb
omniauth-facebook,https://github.com/mkdynamic/omniauth-facebook
hirb,https://github.com/cldwalker/hirb
mina,https://github.com/mina-deploy/mina
active_model_serializers,https://github.com/rails-api/active_model_serializers
ox,https://github.com/ohler55/ox
web-console,https://github.com/rails/web-console
rack-cors,https://github.com/cyu/rack-cors
tzinfo-data,https://github.com/tzinfo/tzinfo-data
js-routes,https://github.com/railsware/js-routes
google-api-client,https://github.com/google/google-api-ruby-client
