name	url	sha1	sha256	sha512
ruby-1.0-971003	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-1.0-971003.tar.gz	7c3edf539289eea64a936c76df28d91338e1b4f1	7a2db55dcc1ed52a079df4b74f978f74bff68ac389c2216fec0567f3bac638c5	5b0b14562815129c2d9299a9e886633724dfd3e43a0427349ac13dd3fba4d5fff7ad57e841bfc00e3d6f6e095e07b93d2d5d2caaa13f0aedd3dce39bcc740de7
ruby-1.0-971225	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-1.0-971225.tar.gz	fdb22ffac72b417d1f065f6c0256423db803ae6b	1ec86e2ecfc377482f3a30602e6eeaa64ce5a99ae99c2e242393d2b248ed5920	8a21adcf28a9012a88a6347e77ce62d9d83ad53446a22de0830a9e3efaff780af3789cb1fccf75f37adae5da2b2da8830294c6cde9cb8e284ba21da06535f00e
ruby-0.73	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-0.73.tar.gz	7731b8e09084d3185b43b38014b51438b7da38e5	3b24d4d87412002be4f113bef3c54b4a954be68df2d2cabcdf196702ecb0565c	98ae166b97f779fb94d3e120189cd7139240b05161999fd9514bd75fd1a5680e648af5d4fd9f474d1fc7cc84d1aa181803aaf687262cd9a79260d72c35372981
ruby-0.71-0.72.diff.gz	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-0.71-0.72.diff.gz	7e602583df7a5ca11ad43e3f9bf6e6820a960518	e5a6d656ac383ebcc6fc2b4a5ab84b2c6139fb513870125207a10e527fed4140	9e76d21eb89f6818c1f6836271e3f43c3a211a1b0d78c23d2980aa2dd5a055ba84ef0a447f2a9a7ef810687c713811c538249c919abb213cf0e4b63fa9f1544c
ruby-0.99.4-961224	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-0.99.4-961224.tar.gz	5dfa5eba1b88248948650ed2675c603cffb76b6a	c33a76f82b106aeca8ea37475e9e702b0c5f2be3f32a82d8222827372abbdeb2	2fc59105179ec3870ad8adb363c2d689e73dea5d6721e3889bc2744059ff1249da8b2e15efc55b830b2f5160d148d2b63cad3abe051ba3c52f3376685add5689
ruby-0.65-0.66.diff.gz	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-0.65-0.66.diff.gz	0b2fb98ef83611909eeb401b94906afe2ebf22c6	2df0b7dc205fdc575eb01d80aa967cc3725fd4e47ed55bfbaac8a6832154828c	7bb08cc3f44e2afc81874a0ef4d5bf1fe650654ebc6233f48eaf57da0349275e8f6bec864d599a8844bcb765c20c0c1a60f2f8774e41d142976ec845b9b5fdc9
ruby-0.64	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-0.64.tar.gz	367863396916b2448dbfc37713d57f3ebeb982f4	b4ebf7cd3c4d9926ec90c1803b3ab0f0b8ebda32b7a439e3f87b5346655d49b3	8a6b54966943b8e8073a18a9be274306db54a0fd6a67e455c339d16743135267f5735c732d7b67264f8158baba9654ff62b75c913520c4e2956ec5b9d7d6af0d
ruby-0.51-0.52.diff.gz	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-0.51-0.52.diff.gz	0df1bebac8a4e47660866fcc6da7381ae355713d	d6510dc60a3a693805efa564f29093c9dd9420481f0c26b659a1095ea0d5f9c3	7615e2c6e0cfbe1a5ca9b0128e5cc44782c8f2534fc8da3607e32a7f469109510d6a5de4e162ffdcf74bc20e01041503a73699e7bdf0299a3ce7f7fd31bae1fc
ruby-0.95	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-0.95.tar.gz	78f9d04c973501977920d36c36f17b82fd3f40d1	8e549bfeaa8c93431115d5f818251ff12fab4b4b0bf64c71f77ceb67ce506f68	30f09654dfb2216e361a1555e284cdc6116d9be51f2e6cbb759ff4cf97861d0362ca8c042c6f295d05600f0e2f7d9b5847f1badea96a3ef092be3306ae886a77
ruby-0.63	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-0.63.tar.gz	cb4a58f859f13224f93600488b1e64bbf8f2f1a3	124771664c69fa3d4dbc2fc0e49070ab1f27ed1ebe8df69c7feffec5dc643db7	0d441360bc79b295ec1691b7df65977385540f2d7e66f52ef064c221a47a733602ab5e4fc9faf53ebb3eb842e3377cc340580679128f405e660a175bf67644b6
ruby-0.76	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-0.76.tar.gz	e0a23ddbe2876c2be3df3f30fc998db24684cbe0	3253720e1edad31573f566271c1762fae884728ddeec7093a85a098681b1a291	6c0fd942c7851d5d72053cc93a6340484f9dabd24a2d63bd5215f453eb39ae70126edf0c198fc69eea82447c45a96245a2bda8123b35d10cd2a05e8243aa9a1a
ruby-1.0-971015	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-1.0-971015.tar.gz	c16ea4a852b36092470b38c537657389c202f829	781d32761c255de1a393cf6929af061092e0a25c2eb848f73f8f60b20a7d6140	57b4531f0c2fbec757ab55c54fa218d92d897e314913e6aac899777292d79d300c62b9bd8626396640a1b88fa8503035f09a8ac64f8b0babc4457774b1640d35
ruby-0.66-0.67.diff.gz	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-0.66-0.67.diff.gz	28e0dd32fc9692f465b06964ee54c41b9ce99948	234d50575dde56b724966f82ce548a0a9ac81cb8f1a7c26673bc22d8377768d8	26aa54a7373fce1bd72ca4df84bda3b0ecfbc9908ebb1e392ce7f796e571916ebfe07b18dfbe0805e5e92279722991661b2c8a85027b4a6496c5a184fdeeec7a
ruby-0.62	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-0.62.tar.gz	ef52d49af50b21617dd6c2a2ebb2b14ba2aad9b7	46a6ab5fca11b6cb19d39a8801f7a5ed46caa956fea496ac199509aeac151c22	759f9881a56b59a75bf080604b099d5626bf6d3c1264a2faa38a79f2f263416e1104ac79b40860bb2844e15820a95dfa74f4e6c449359e0a5211072358bfe325
ruby-1.0-971021	https://cache.ruby-lang.org/pub/ruby/1.0/ruby-1.0-971021.tar.gz	36e236b40dfae821dbc17377cc169c46aa04deb9	81183e2d67a3b2362df75c3ae9f936e6d38d47b0bd7b70f3720ee604dc93091a	2fc45741e45dc7882d7e225e57cbba54877bec16f9bb6546768525e045d659aea19103aa8600ff80b2f8e182b9f5ad5e965db25c204c00c96042e920078eb529
